773:	2.621351741254E-04
774:	2.623960317578E-04
775:	2.627072681207E-04
776:	2.629855007399E-04
777:	2.632624818943E-04
778:	2.635736018419E-04
779:	2.638577425387E-04
780:	2.641581813805E-04
781:	2.644936030265E-04
782:	2.647723595146E-04
783:	2.650599344634E-04
784:	2.653407573234E-04
785:	2.656403812580E-04
786:	2.659368619788E-04
787:	2.662128827069E-04
788:	2.665349747986E-04
789:	2.668019733392E-04
790:	2.671004622243E-04
791:	2.673858834896E-04
792:	2.676950825844E-04
793:	2.679559984244E-04
794:	2.682617341634E-04
795:	2.685443905648E-04
796:	2.688502136152E-04
797:	2.691266709007E-04
798:	2.694336872082E-04
799:	2.697716117837E-04
800:	2.700384357013E-04
801:	2.703372447286E-04
802:	2.706052036956E-04
803:	2.709103282541E-04
804:	2.711943234317E-04
805:	2.715016307775E-04
806:	2.717938914429E-04
807:	2.720864722505E-04
808:	2.724057994783E-04
809:	2.726811508182E-04
810:	2.729722473305E-04
811:	2.732643915806E-04
812:	2.735641028266E-04
813:	2.738402399700E-04
814:	2.741304342635E-04
815:	2.744315715972E-04
816:	2.747166727204E-04
817:	2.750034909695E-04
818:	2.753011358436E-04
819:	2.756666799542E-04
820:	2.759204362519E-04
821:	2.762274816632E-04
822:	2.765051904134E-04
823:	2.768114209175E-04
824:	2.770887513179E-04
825:	2.773820597213E-04
826:	2.776823530439E-04
827:	2.779774076771E-04
828:	2.782714436762E-04
829:	2.785563701764E-04
830:	2.788497949950E-04
831:	2.791422011796E-04
832:	2.794318133965E-04
833:	2.797245106194E-04
834:	2.800176152959E-04
835:	2.803206152748E-04
836:	2.805930271279E-04
837:	2.809007419273E-04
838:	2.811896847561E-04
839:	2.815094776452E-04
840:	2.818118955474E-04
841:	2.820915833581E-04
842:	2.824017137755E-04
843:	2.826826821547E-04
844:	2.830039011315E-04
845:	2.832696482074E-04
846:	2.835680788849E-04
847:	2.838487853296E-04
848:	2.841591194738E-04
849:	2.844480331987E-04
850:	2.847484720405E-04
851:	2.850346791092E-04
852:	2.853355254047E-04
853:	2.856146020349E-04
854:	2.859070955310E-04
855:	2.862084947992E-04
856:	2.864923153538E-04
857:	2.867967705242E-04
858:	2.870872267522E-04
859:	2.873920602724E-04
860:	2.877113292925E-04
861:	2.880089741666E-04
862:	2.883056004066E-04
863:	2.885780704673E-04
864:	2.889003080782E-04
865:	2.891655312851E-04
866:	2.895006618928E-04
867:	2.897595113609E-04
868:	2.900577674154E-04
869:	2.903384447563E-04
870:	2.906425797846E-04
871:	2.909393515438E-04
872:	2.912509080488E-04
873:	2.915404038504E-04
874:	2.918365644291E-04
875:	2.921335690189E-04
876:	2.924401487689E-04
877:	2.927223977167E-04
878:	2.930147165898E-04
879:	2.933261275757E-04
880:	2.936115197372E-04
881:	2.939150726888E-04
882:	2.942360006273E-04
883:	2.945229934994E-04
884:	2.948302717414E-04
885:	2.951013739221E-04
886:	2.954145602416E-04
887:	2.957168617286E-04
888:	2.960151177831E-04
889:	2.963014994748E-04
890:	2.966076717712E-04
891:	2.968866319861E-04
892:	2.971822686959E-04
893:	2.974637027364E-04
894:	2.977890835609E-04
895:	2.980612334795E-04
896:	2.983667654917E-04
897:	2.986609470099E-04
898:	2.989542263094E-04
899:	2.992547233589E-04
900:	2.995458198711E-04
901:	2.998360432684E-04
902:	3.001375298481E-04
903:	3.004448371939E-04
904:	3.007535124198E-04
905:	3.010729851667E-04
906:	3.013422247022E-04
907:	3.016660339199E-04
908:	3.019240393769E-04
909:	3.022427845281E-04
910:	3.025225596502E-04
911:	3.028709616046E-04
912:	3.031284722965E-04
913:	3.034503315575E-04
914:	3.037031274289E-04
915:	3.040395095013E-04
916:	3.042957687285E-04
917:	3.046025813092E-04
918:	3.049020597246E-04
919:	3.052238898817E-04
920:	3.055227280129E-04
921:	3.058170841541E-04
922:	3.061053866986E-04
923:	3.063985204790E-04
924:	3.067008801736E-04
925:	3.069724189118E-04
926:	3.072938998230E-04
927:	3.075668064412E-04
928:	3.079088928644E-04
929:	3.082098555751E-04
930:	3.085177449975E-04
931:	3.088041557930E-04
932:	3.091063990723E-04
933:	3.093875711784E-04
934:	3.097038716078E-04
935:	3.099807654507E-04
936:	3.103085327893E-04
937:	3.105981159024E-04
